,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
9169,147.34,0.00513599,16969,10075593936.13,-24516297.62,-9964427630.43,86650008.08,-7233.59,93.9205,0.0,10014098788.18,0.0,-9982321401.5,153024566.22,37325.52,130.466,121247179.54,9980298444.64,0.0,-9971138150.74,15658411.98,1520.17,0.00136733,6498118.08
9170,146.7,0.00510104,4054,10075147245.32,-24049276.82,-9964427630.43,86670338.07,20329.99,93.4637,0.0,10013298471.94,0.0,-9982321401.5,152921842.72,-102723.5,129.569,121944772.28,9981548654.43,0.0,-9971138150.74,15653008.23,-5403.75,0.00341787,5242504.54
9171,145.39,0.005066,36567,10075440422.49,-24238800.9,-9964427630.43,86773991.16,103653.09,91.045,0.0,10013065755.32,0.0,-9982321401.5,152396355.72,-525487.0,128.985,121652001.9,9981491765.17,0.0,-9971138150.74,15630413.43,-22594.8,-0.120268,5276799.0
9172,144.62,0.00504313,25222,10075601998.71,-24184754.16,-9964427630.43,86989614.12,215622.96,93.1204,0.0,10010397333.39,0.0,-9982321401.5,151314020.71,-1082335.01,129.923,123238088.82,9984002157.62,0.0,-9971138150.74,15583672.22,-46741.21,-0.0311246,2719665.34
9173,143.99,0.00507981,13167,10075757361.55,-24212858.88,-9964427630.43,87116872.24,127258.12,95.2192,0.0,10012074270.55,0.0,-9982321401.5,150665746.31,-648274.4,131.006,120912877.26,9982173388.36,0.0,-9971138150.74,15569219.24,-14452.98,0.0138764,4533981.62
9174,145.02,0.00512218,15531,10076565798.34,-24916605.56,-9964427630.43,87221562.35,104690.11,96.2677,0.0,10012220503.6,0.0,-9982321401.5,150143279.23,-522467.08,131.147,120244177.13,9981222274.94,0.0,-9971138150.74,15549552.63,-19666.61,0.0415714,5465428.43
9175,146.38,0.00512768,20204,10075966586.37,-24492282.78,-9964427630.43,87046673.16,-174889.19,96.6301,0.0,10013342103.61,0.0,-9982321401.5,151007784.77,864505.54,132.202,119987082.66,9980707752.96,0.0,-9971138150.74,15588802.34,39249.71,0.0821086,6019200.12
9176,146.69,0.00516892,6190,10075282767.39,-24032668.4,-9964427630.43,86822468.56,-224204.6,96.3952,0.0,10014809676.29,0.0,-9982321401.5,152137383.85,1129599.08,132.193,119649109.06,9979933993.94,0.0,-9971138150.74,15645402.54,56600.2,0.0725431,6849559.34
9177,147.53,0.00516859,24474,10074827958.58,-23628678.51,-9964427630.43,86771649.64,-50818.92,97.3339,0.0,10015113906.58,0.0,-9982321401.5,152395023.06,257639.21,132.674,119602517.98,9980089152.64,0.0,-9971138150.74,15660162.43,14759.89,-0.0122299,6709160.53
9178,147.64,0.00518738,5462,10074755682.26,-23692137.76,-9964427630.43,86635914.07,-135735.57,98.5336,0.0,10013390409.34,0.0,-9982321401.5,153083989.4,688966.34,131.775,122014981.56,9981888953.89,0.0,-9971138150.74,15698959.35,38796.92,0.00612245,4948156.2
9179,148.16,0.00515224,4102,10074804017.07,-23758967.0,-9964427630.43,86617419.64,-18494.43,99.1481,0.0,10013748916.43,0.0,-9982321401.5,153179283.85,95294.45,131.697,121751768.92,9981485743.72,0.0,-9971138150.74,15702791.06,3831.71,0.00407914,5355198.08
9180,147.47,0.00514917,14626,10074498139.62,-23536549.44,-9964427630.43,86533959.75,-83459.89,99.6804,0.0,10013994833.85,0.0,-9982321401.5,153612371.87,433088.02,131.577,121938939.52,9981550385.29,0.0,-9971138150.74,15721844.47,19053.41,0.0271831,5309609.92
9181,147.62,0.00514448,28660,10073931305.83,-22863601.33,-9964427630.43,86640074.07,106114.32,100.306,0.0,10015073475.77,0.0,-9982321401.5,153048809.66,-563562.21,132.031,120296735.39,9981039546.13,0.0,-9971138150.74,15697261.33,-24583.14,0.120637,5795865.94
9182,147.07,0.00516225,47753,10073714595.08,-22670741.5,-9964427630.43,86616223.15,-23850.92,100.459,0.0,10017192938.53,0.0,-9982321401.5,153175533.61,126723.95,131.17,118303996.58,9979140615.44,0.0,-9971138150.74,15703209.62,5948.29,-0.050894,7700744.92
9183,147.64,0.0051286,15417,10073397132.38,-22270810.1,-9964427630.43,86698691.85,82468.7,102.026,0.0,10014003347.31,0.0,-9982321401.5,152738645.42,-436888.19,131.741,121056699.61,9982650103.65,0.0,-9971138150.74,15675063.4,-28146.22,-0.00336542,4163110.49
9184,146.86,0.00515092,2847,10073226329.36,-22186453.36,-9964427630.43,86612245.57,-86446.28,101.411,0.0,10015142862.6,0.0,-9982321401.5,153212136.86,473491.44,132.113,120390675.76,9981685640.93,0.0,-9971138150.74,15691267.79,16204.39,-0.00538648,5143777.6
9185,147.59,0.00516545,22542,10073010131.52,-21854970.9,-9964427630.43,86727530.19,115284.62,99.3917,0.0,10015346661.91,0.0,-9982321401.5,152580314.91,-631821.95,131.196,119555054.5,9981700507.57,0.0,-9971138150.74,15664273.23,-26994.56,0.0471571,5101916.4
9186,147.95,0.00512961,6936,10072413798.61,-21365128.4,-9964427630.43,86621039.78,-106490.41,101.194,0.0,10017009614.39,0.0,-9982321401.5,153178925.72,598610.81,132.862,118490712.83,9980640464.77,0.0,-9971138150.74,15689729.6,25456.37,0.0382191,6187415.57
9187,146.68,0.00519474,38210,10072744046.08,-21748206.15,-9964427630.43,86568209.5,-52830.28,102.868,0.0,10016499418.67,0.0,-9982321401.5,153472025.52,293099.8,133.0,119294008.35,9980824004.3,0.0,-9971138150.74,15705051.36,15321.76,-0.063456,6019197.8
9188,148.2,0.00520015,8269,10073473659.46,-22291839.68,-9964427630.43,86754189.35,185979.85,103.302,0.0,10013687130.59,0.0,-9982321401.5,152451975.93,-1020049.59,132.221,121086246.84,9982910315.87,0.0,-9971138150.74,15653757.97,-51293.39,-0.0894058,3881592.84
