,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
33,33,13.535626334517925,-0.00037779018816896937,1.1314783566954736,66,31,3,6.363636363636363,15.741935483870968,15.333333333333334,88.67201602347333,129.50087422480993,10.327222693867007,0.0,-0.39472441574432027,0.9835753697022704,1.9128568665376442,35
34,34,12.395595607634045,-0.002958301984748779,1.0932673994293125,55,42,3,6.109090909090909,15.642857142857142,17.0,89.3434694160606,153.26126013349293,12.023277006284516,0.0,-0.39697448121290657,0.988110595326012,1.1991534392741527,26
35,35,11.159617566499412,0.02034173172562781,1.0476493118412689,71,26,3,6.098591549295775,15.153846153846153,13.0,89.50163443072253,121.58787801758754,12.2086193778284,0.0,-0.39519290518864125,0.980772255971158,-1.985695252661061,31
36,36,9.671112941630623,-0.0315131986466719,0.9854764551167563,57,38,5,6.2105263157894735,15.447368421052632,15.2,89.14216221591538,148.05565012060495,12.501162229396172,0.0,-0.38934568811186265,0.9776654364898453,-0.8588936033004311,34
37,37,10.21420709494269,-0.006744228310477496,1.0092046590099322,60,40,0,6.083333333333333,15.35,0.0,94.21070586070653,146.0893856763833,16.392686137191387,0.0,-0.4263352502358325,0.9732813186840592,-1.2072184908480377,5
38,38,10.171996422703575,0.006582697210804511,1.0074061987706424,47,50,3,6.340425531914893,15.64,15.666666666666666,93.81956780101689,184.44533139477298,14.260524090947223,0.0,-0.4199792744145167,0.9749146297221287,0.4232048612291669,20
39,39,10.480162887882331,-0.00225539764258631,1.0203680327201043,48,52,0,6.354166666666667,15.73076923076923,0.0,97.43283968327178,184.9596166631418,16.638891701853346,0.0,-0.4452225952552425,0.9720440073850222,-0.7998293524718532,3
40,40,10.267513013526191,0.03254982079521129,1.0114652619711766,46,53,1,6.0,15.79245283018868,13.0,97.91988402512783,192.66772957239556,17.533449852501594,0.0,-0.4455969458926893,0.9769692306410512,1.3197768907884992,8
41,41,10.691783545078227,-0.002486738360955698,1.0290501578913023,60,39,1,6.083333333333333,15.538461538461538,18.0,97.91145686858127,151.1911153956493,18.45330161844029,0.0,-0.4424784788399277,0.9824959181347761,1.4759024631690816,28
42,42,10.188536558674901,-0.017146333809784586,1.0081118081345042,48,48,4,6.0,15.625,14.0,99.232134562004,188.2154902168536,18.51812345398805,0.0,-0.4494582338203626,0.9864954189253992,1.056229083295177,21
43,43,12.548966607552961,0.0035038154307684977,1.098607963656434,67,25,8,5.7164179104477615,15.44,14.25,101.2208695398468,146.16307224766783,12.366412789605782,2.5000992063492062,-0.4642072416169234,0.9977283064583321,2.99183533538573,38
44,44,13.646311102044534,-0.002844927207686254,1.1350152678937007,80,17,3,5.625,16.823529411764707,16.333333333333332,111.52414980773295,139.4051872596662,0.0,0.0,-0.5439201200702226,0.9981333263848206,0.08661056367285772,33
45,45,7.021929413521991,-0.023646459210830528,0.8464564594967529,82,17,1,5.585365853658536,16.705882352941178,12.0,73.86966978494219,88.01171015198138,10.000396825396823,0.0,-0.24195766663229407,0.9934793539691721,-1.2544197644703596,3
46,46,7.674977264948829,-0.005782140467875507,0.8850770976708016,90,8,2,5.7444444444444445,16.25,12.5,85.36533953316192,94.8503772590688,0.0,0.0,-0.3310257070811081,0.9940227868668307,0.12393089310629776,18
47,47,8.058674006940418,0.027013641343039296,0.9062635878542421,93,6,1,5.688172043010753,13.666666666666666,15.0,97.65326308958547,105.003508698479,0.0,0.0,-0.42554626806248036,0.9952998130254578,0.3191094028824543,10
48,48,13.177828209881966,0.005724985946216066,1.119843841655393,96,4,0,5.645833333333333,14.0,0.0,148.88096452823012,155.08433805023972,0.0,0.0,-0.8271427579120773,0.9944686354568169,-0.2417390296551951,7
49,49,21.635586909598068,-0.0014685694996785514,1.3351686808216652,98,2,0,5.63265306122449,13.0,0.0,227.96590952294548,232.61827502341376,0.0,0.0,-1.445779084975681,1.0000301501633064,1.458831194472014,4
50,50,34.847608437743745,-0.002904882921093588,1.5421729781892426,99,1,0,5.595959595959596,15.0,0.0,346.57275711571,350.07349203607066,0.0,0.0,-2.371949907882071,1.0022576019211167,0.5685189517173292,2
51,51,54.54077496538836,0.0005951813962958852,1.7367213045040475,100,0,0,5.52,0.0,0.0,518.9515261150334,518.9515261150334,0.0,0.0,-3.7158720617428527,0.9882898006205983,-3.7080002324382333,1
52,52,59.57406005428698,0.0022828519437467776,1.7750571988748634,100,0,0,5.52,0.0,0.0,569.2369614028963,569.2369614028963,0.0,0.0,-4.0840094579348225,0.9910686639524664,0.7231380740848747,0
53,53,65.45361631986252,0.0003861236724134187,1.8159336463699498,100,0,0,5.53,0.0,0.0,626.4632769214242,626.4632769214242,0.0,0.0,-4.504105091767415,0.9900018720878985,-0.30558177532833525,0
54,54,72.15802426558174,0.00019033503555476727,1.85828463342659,100,0,0,5.49,0.0,0.0,690.6042084733313,690.6042084733313,0.0,0.0,-4.9755406064959375,0.995196850747362,1.3675513694014128,0
55,55,79.67258594290622,-0.0020578450417474414,1.9013089133436623,73,23,4,5.589041095890411,17.130434782608695,16.25,755.880782601749,1035.453126851711,0.0,0.0,-5.455088203153408,0.9919970933407185,-0.8714537136933294,51
56,56,54.0339627884385,0.005074119977422242,1.732666819363026,85,12,3,5.741176470588235,15.25,16.666666666666668,567.5048354900493,667.2997924532793,2.5000992063492062,0.0,-3.9228330626975954,0.9969968622878213,1.3126946696714104,24
57,57,42.66074059332734,0.0008814770236966751,1.6300283905602824,94,4,2,5.627659574468085,14.75,14.5,465.35201898385947,495.0553393445313,0.0,0.0,-3.084312414399453,0.9993886681139696,0.6139268657309125,15
58,58,21.33037029666367,-237.54321651173444,1.3289983948963011,98,2,0,5.479591836734694,15.5,0.0,258.2425039187537,263.5127591007691,0.0,0.0,-1.422707645460398,0.9969686446466386,-0.6614613092870543,6
59,59,11.906612718664062,-0.01860829841530176,1.0757882277443616,99,1,0,5.404040404040404,19.0,0.0,172.41322554791847,174.15477328072575,0.0,0.0,-0.732971330162478,0.9945412683562057,-0.6649677483657734,2
60,60,15.412218928464243,-0.014495941046519079,1.187865169478561,99,1,0,5.363636363636363,13.0,0.0,218.5334063980238,220.74081454345838,0.0,0.0,-1.091762093390416,0.9927484925428318,-0.49771893541767287,1
61,61,19.72900656355957,-0.0024183752228452704,1.2951052172934225,100,0,0,5.39,0.0,0.0,272.8641360465,272.8641360465,0.0,0.0,-1.512621846712848,0.9938980261827457,0.285567960958445,1
62,62,25.201906227281818,0.0012338313105431098,1.401433391284714,100,0,0,5.36,0.0,0.0,339.08118053116044,339.08118053116044,0.0,0.0,-2.0241172531949676,0.9898785974398487,-1.0907614357464364,0
63,63,31.50941602025698,-0.014474374068385032,1.4984403542520655,71,21,8,6.028169014084507,15.428571428571429,15.375,408.11432300824947,574.8089056454218,0.0,0.0,-2.5556979191259845,0.9861286094339454,-1.023089853531554,51
64,64,22.68801378405408,0.005477994991082369,1.355796477357733,83,11,6,5.927710843373494,15.363636363636363,13.833333333333334,338.2305672576689,407.3862208306204,0.9091269841269841,0.0,-1.9830562620408816,0.9804738575756116,-1.5379433396546107,28
65,65,17.544939383589313,0.020082017958493736,1.2441518721001197,88,10,2,5.738636363636363,14.8,17.0,281.77684987265997,320.2009657643863,0.0,0.0,-1.5211135429365925,0.9817492229917395,0.3233582706583834,17
66,66,15.082178325452256,0.12410607039521437,1.1784640714012828,95,4,1,5.747368421052632,14.0,13.0,260.38381639489904,274.0882277841043,0.0,0.0,-1.339974751078045,0.9804352858864893,-0.37488926026315517,12
67,67,15.504711855431864,-0.015123322774215353,1.1904636995795534,98,2,0,5.683673469387755,14.5,0.0,281.82063425064587,287.57207576596517,0.0,0.0,-1.498842453064171,0.9813457671861611,0.2249060934500256,5
68,68,17.53931041588498,0.006434903816789017,1.2440125144312084,99,0,1,5.696969696969697,0.0,14.0,326.74009049255164,330.04049544702184,0.0,0.0,-1.8420870659386142,0.9862104078972548,1.2907368908021026,2
69,69,20.6839908259967,-0.021381465704806146,1.3156343364767535,99,1,0,5.656565656565657,11.0,0.0,387.8378921366488,391.7554466026756,0.0,0.0,-2.310509850330605,0.9849818636832883,-0.3503787397339587,1
70,70,34.66083193115253,0.01681437557732579,1.5398389824625152,99,0,1,5.656565656565657,0.0,17.0,608.7969311789042,614.9463951302062,0.0,0.0,-4.038949943854455,0.9829267869603038,-0.5728040120788739,1
71,71,39.032187170163915,-0.0004838721343674024,1.591422887671705,99,1,0,5.636363636363637,13.0,0.0,687.9072552583857,694.8558133923088,0.0,0.0,-4.632397214739371,0.9845337636844259,0.4117594934746504,1
72,72,44.1832115808808,-0.00726246765657379,1.6452572805974812,99,1,0,5.696969696969697,12.0,0.0,778.5540643067294,786.4182467744741,0.0,0.0,-5.312350373278907,0.9859010016040308,0.3466281312246182,1
73,73,50.08130587459526,0.004826379392937952,1.6996756446180417,100,0,0,5.66,0.0,0.0,880.2027089943496,880.2027089943496,0.0,0.0,-6.07389912080449,0.9836691427310683,-0.6197304123070202,1
74,74,57.56417803898482,0.0190462359334731,1.7601523077354853,100,0,0,5.58,0.0,0.0,1005.2961066295833,1005.2961066295833,0.0,0.0,-7.014761032401744,0.9794039492112265,-1.167990497135007,0
75,75,92.39996289533013,-0.00798418052667671,1.9656717968223079,77,16,7,5.51948051948052,15.125,14.285714285714286,1528.6633564688996,1985.2770863232463,0.0,0.0,-11.099545265373338,0.9759739751360116,-0.9473611347276286,51
76,76,67.10827791194782,0.00035832001671565195,1.8267760943827607,85,14,1,5.705882352941177,15.214285714285714,17.0,1187.0127820573587,1396.4856259498335,0.0,0.0,-8.31101770427674,0.9740060776335978,-0.5542656206046601,23
77,77,51.66765083030184,-0.004407660715969541,1.7132187159557641,93,7,0,5.741935483870968,13.857142857142858,0.0,939.6031096006507,1010.3259243017749,0.0,0.0,-6.289518198877097,0.9727162251057092,-0.37116202405055554,15
78,78,46.30691976827849,0.015554258504735685,1.665645893666535,97,3,0,5.752577319587629,13.333333333333334,0.0,864.7222921806376,891.4662805985954,0.0,0.0,-5.647857982789718,0.9656771261545527,-1.9353998902213667,7
79,79,45.33224440456048,-0.005080982367971387,1.6564072215600294,98,2,0,5.826530612244898,15.0,0.0,864.9881139417447,882.640932593617,0.0,0.0,-5.605312408736539,0.9667273133846296,0.266937492842694,3
80,80,23.405558381665024,0.09582774448661979,1.369319006462531,100,0,0,5.83,0.0,0.0,504.1232245325194,504.1232245325194,0.0,0.0,-2.7083261255681816,0.9645349619802868,-0.620797074991238,2
81,81,13.839728661011037,0.020595160022907066,1.1411275755122992,100,0,0,5.81,0.0,0.0,356.1545334485532,356.1545334485532,0.0,0.0,-1.5172081304915377,0.9611427222736756,-0.9512941956246204,0
82,82,18.615736709425423,-0.030069962082990287,1.2698802279037116,67,27,6,5.880597014925373,15.074074074074074,16.833333333333332,449.3022667465435,670.6003981291694,0.0,0.0,-2.2431297798476475,0.9564288790064126,-1.3183779959110347,51
83,83,13.523748909659407,-0.029441425990967218,1.1310970987868922,82,15,3,5.926829268292683,15.333333333333334,19.0,391.8181244889172,477.33915684866014,2.6667724867724867,0.0,-1.7709792831216504,0.9559443549773077,-0.15482459684666278,29
84,84,11.028488067600446,-0.008759987322662255,1.042515977634618,90,8,2,5.888888888888889,13.5,17.0,351.8858605344032,390.9842894826702,0.0,0.0,-1.4413356660819527,0.9572727585092813,0.3468684174636754,18
85,85,11.135744406325784,0.014200629882225257,1.046719254217258,95,5,0,5.7894736842105265,14.2,0.0,381.06665891549693,401.12279885841787,0.0,0.0,-1.6606190964651069,0.9564047970827548,-0.2606825052770582,10
86,86,18.088180648909976,0.005347609000935449,1.2573948867119713,100,0,0,5.79,0.0,0.0,592.4815822364109,592.4815822364109,0.0,0.0,-3.3187493868934514,0.9527950743300871,-1.0193676149435555,5
87,87,21.51865918523727,-0.05331228104807906,1.332815207208386,71,19,10,5.985915492957746,14.0,15.0,704.301809672749,991.9743798207732,0.0,0.0,-4.177319743899087,0.9504013441404867,-0.6854901444525697,51
88,88,15.28991924202226,-0.002292281644400873,1.1844051915708076,89,9,2,6.179775280898877,13.444444444444445,16.0,576.9716260087255,648.0579978339523,1.1111552028218694,5.0001984126984125,-3.137738813126138,0.9526588012016501,0.6076449876964907,27
89,89,13.50844990004905,0.17361976174993288,1.1306055164181377,93,6,1,6.268817204301075,18.5,11.0,549.6856405035157,591.059828498404,0.0,0.0,-2.8972485052739523,0.9575199878266429,1.3292710527559104,11
90,90,6.754224950024525,-6858.4250555468025,0.8295755207541564,73,24,3,6.205479452054795,16.333333333333332,16.333333333333332,311.78680453912375,426.2701020344011,2.5401252250456516,0.0,-1.0299321542144086,0.9608924735142906,0.9110697019940758,38
91,91,10.269729720653196,-0.015248921997013554,1.0115590139601318,86,13,1,6.058139534883721,14.615384615384615,11.0,354.37582240934466,411.5997704278109,3.077075703287013,0.0,-1.3584930347542628,0.9648424273566566,1.0668009912832273,23
92,92,13.374477253821505,0.0008848517070987327,1.1262768164714052,94,3,3,6.1063829787234045,18.0,19.666666666666668,411.6186674781387,437.89219944482846,0.0,0.0,-1.8002960337921765,0.9656575871246899,0.2027381451753308,14
93,93,16.86481599759518,0.0011291195885405614,1.2269816072112563,98,2,0,6.122448979591836,15.5,0.0,474.0281817812437,483.7022263073915,0.0,0.0,-2.2794184101511012,0.9605639896650714,-1.4163579521382206,6
94,94,20.42656009465084,0.013912203559911518,1.310195236055058,99,1,0,6.0,20.0,0.0,537.0126764530406,542.4370469222632,0.0,0.0,-2.759298554229046,0.9595659044379068,-0.2957014999766211,2
95,95,10.21328004732542,-1254.0900860430804,1.0091652403910767,75,20,5,5.773333333333333,15.85,13.6,395.5968641937307,527.462485591641,0.0,0.0,-1.623676391232951,0.9569064785793098,-0.7540585516686943,56
96,96,16.868505787255344,-0.011534936603673884,1.2270766144747214,87,10,3,6.114942528735632,15.7,14.333333333333334,468.6103116536404,538.6325421306211,0.0,0.0,-2.188020194681448,0.9563722770939987,-0.16849302285243228,25
97,97,14.844073058235352,-0.0064871149859655475,1.171553083153867,93,6,1,6.086021505376344,17.333333333333332,14.0,453.9150586275935,488.0807082017135,0.0,0.0,-2.0545561075802277,0.9556198364563936,-0.22895018584609078,13
98,98,16.244721547404424,-0.005580075407074503,1.210712271454337,97,3,0,5.948453608247423,15.666666666666666,0.0,489.5527292420049,504.6935353010359,0.0,0.0,-2.3200342326494243,0.9534106085642348,-0.6324435951714915,7
99,99,18.60285922201624,0.000839998608377357,1.2695796995357924,98,2,0,6.020408163265306,14.0,0.0,539.12410880261,550.1266416353163,0.0,0.0,-2.6935611895405485,0.9457285292375884,-2.1525983442246788,3
