,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
2364,66.57,0.00544913,41084,9961320420.84,0.0,-9963226915.08,79006512.61,-293029.83,81.328,80913006.85,10081051085.1,-45522908.73,-9976353399.54,59174776.83,160055.07,54.8175,0.0,10004820354.78,0.0,-9975848602.88,43209153.78,-50436.29,0.0401189,14237401.88
2365,66.82,0.00548175,50458,9960878234.9,0.0,-9963226915.08,79502263.61,495751.0,82.7711,81850943.79,10082404804.64,-47155458.63,-9976353399.54,58895946.47,-278830.36,55.2182,0.0,10003912908.67,0.0,-9975848602.88,43296320.63,87166.85,0.0680775,15232014.84
2366,67.55,0.00552182,68149,9959793385.55,0.0,-9963226915.08,79816305.71,314042.1,82.0106,83249835.24,10084083046.21,-49014541.42,-9976353399.54,58715105.25,-180841.22,54.9812,0.0,10003323628.4,0.0,-9975848602.88,43354731.7,58411.07,0.0543878,15879706.18
2367,67.92,0.00549812,133135,9957468392.02,0.0,-9963226915.08,80732496.94,916191.23,82.0381,86491020.0,10085911838.21,-51382718.1,-9976353399.54,58175720.57,-539384.68,54.9298,0.0,10003823971.92,0.0,-9975848602.88,43529567.14,174835.44,-0.154971,15554198.1
2368,67.84,0.00549298,62409,9954635474.56,0.0,-9963226915.08,81213062.68,480565.74,82.2727,89804503.2,10084242619.66,-49990138.8,-9976353399.54,57899081.32,-276639.25,54.7522,0.0,10008339352.27,0.0,-9975848602.88,43616384.99,86817.85,-0.0594001,11125635.6
2369,67.94,0.00547522,49780,9955491008.73,0.0,-9963226915.08,81114616.53,-98446.15,83.8087,88850522.88,10085507623.04,-51200204.8,-9976353399.54,57954018.7,54937.38,54.8527,0.0,10006222935.08,0.0,-9975848602.88,43604014.12,-12370.87,0.0194204,13229681.92
2370,67.71,0.00548527,49344,9955978690.22,0.0,-9963226915.08,81252797.04,138180.51,81.856,88501021.9,10086714683.75,-52486775.24,-9976353399.54,57874508.97,-79509.73,55.1997,0.0,10004532299.94,0.0,-9975848602.88,43624450.4,20436.28,-0.0596392,14940753.34
2371,68.41,0.00551997,105062,9954349699.07,0.0,-9963226915.08,80960208.86,-292588.18,82.8471,89837424.87,10086678443.21,-52277198.25,-9976353399.54,58047845.42,173336.45,54.7977,0.0,10006201537.89,0.0,-9975848602.88,43575208.39,-49242.01,0.104995,13222273.38
2372,68.48,0.00547977,107661,9954169702.8,0.0,-9963226915.08,81896277.07,936068.21,81.9057,90953489.35,10090242863.56,-56386053.17,-9976353399.54,57503410.85,-544434.57,54.6716,0.0,10002821254.44,0.0,-9975848602.88,43712715.38,137506.99,0.135075,16740063.82
2373,68.15,0.00546716,110761,9957863215.15,0.0,-9963226915.08,81996920.87,100643.8,80.2032,87360620.8,10087291011.82,-53493631.36,-9976353399.54,57443980.92,-59429.93,54.2419,0.0,10002086720.14,0.0,-9975848602.88,43731127.82,18412.44,0.0190393,17493010.56
