,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
39,39,240294057652.60986,-2.0837584868331005e-09,11.380743031059453,0,100,0,0.0,14.51,0.0,10.014693032067841,0.0,10.014693032067841,0.0,-0.05950611775916224,1.0024075805744337,-0.11650285469693866,0
40,40,479200624997.71716,-1.044937392570758e-09,11.680517375810476,0,100,0,0.0,14.6,0.0,10.015090440521499,0.0,10.015090440521499,0.0,-0.05903885706723042,1.0082131344068026,1.5115243707994626,0
41,41,923446072118.1697,-5.422672066571911e-10,11.96541153836278,0,100,0,0.0,14.67,0.0,10.01548786474532,0.0,10.01548786474532,0.0,-0.05857529024589006,1.006462829658792,-0.48010631618583266,0
42,42,1721748093535.6665,-2.9085230012301685e-10,12.235969610770239,0,100,0,0.0,14.61,0.0,10.01588530473998,0.0,10.01588530473998,0.0,-0.058115388094702895,1.0097906024284888,0.8540006619925248,0
43,43,3230264128990.766,-1.550319866237878e-10,12.509238034737708,0,100,0,0.0,14.61,0.0,10.016282760506014,0.0,10.016282760506014,0.0,-0.057659121644062644,1.0157874441110886,1.550440246528733,0
44,44,6448751552539.322,-7.766063461199644e-11,12.809475645437935,0,100,0,0.0,14.65,0.0,10.016680232044132,0.0,10.016680232044132,0.0,-0.05720646215337115,1.0181474906408148,0.5939133778714234,0
45,45,12444132776454.584,-4.024659818399165e-11,13.094964636298279,0,100,0,0.0,14.46,0.0,10.017077719354923,0.0,10.017077719354923,0.0,-0.05675738110922788,1.0247272489006587,1.6890199926560798,0
46,46,24172696669456.777,-2.0719818430543453e-11,13.38332510234544,0,100,0,0.0,14.47,0.0,10.017475222439062,0.0,10.017475222439062,0.0,-0.0563118502236337,1.0178663612081174,-1.792209589093382,0
47,47,46985587895500.72,-1.0660157370722528e-11,13.671964665227222,0,100,0,0.0,14.44,0.0,10.017872741297081,0.0,10.017872741297081,0.0,-0.05586984143220905,1.0238156749068918,1.5256200804772149,0
48,48,90348199021687.52,-5.544035658581495e-12,13.955919499866084,0,100,0,0.0,14.21,0.0,10.018270275929687,0.0,10.018270275929687,0.0,-0.05543132689242653,1.0244851481479884,0.1522141011629093,0
49,49,179423389332944.62,-2.791796073292147e-12,14.253879056300736,0,100,0,0.0,14.27,0.0,10.018667826337465,0.0,10.018667826337465,0.0,-0.054996278981856904,1.0268953254042192,0.601640987587059,0
50,50,358803544050424.0,-1.3961216370997567e-12,14.554856724098759,0,100,0,0.0,14.26,0.0,10.019065392521041,0.0,10.019065392521041,0.0,-0.054564670296428766,1.0244456466782532,-0.6519407307434322,0
51,51,715858853595090.0,-6.997933560648585e-13,14.854827400593344,0,100,0,0.0,14.21,0.0,10.019462974481035,0.0,10.019462974481035,0.0,-0.054136473648703116,1.0228610243830965,-0.43003895705080397,0
52,52,1326353473151976.8,-3.777071187015688e-13,15.122659278957284,0,100,0,0.0,14.24,0.0,10.019860572218134,0.0,10.019860572218134,0.0,-0.053711662066160876,1.0207989863810822,-0.5541621982928131,0
53,53,2595107165495477.5,-1.9305292485493685e-13,15.414155296836636,0,100,0,0.0,14.25,0.0,10.02025818573292,0.0,10.02025818573292,0.0,-0.05329020878950344,1.0228082667209895,0.49998241592356274,0
